X ; Y ; XL93 ; YL93 ; NBSARM ; DIAM ; BIOM ; Date ; Vitesse ; NBSARMM2 ; NBSARCEP ; BIOMMM2 ; BIOMGM2 ; BIOMGCEP 
4.2676819;47.1612670;796035.0116211;6674214.0547278;2.89;10.92;270.97;2015-02-11 09:54:49;6.22;2.63;2.89;246.34;199.53;219.49
4.2676712;47.1612812;796034.1757767;6674215.6187827;2.94;12.37;353.67;2015-02-11 09:54:50;6.12;2.67;2.94;321.52;260.43;286.48
4.2676630;47.1612935;796033.5326953;6674216.9748620;3.45;11.10;334.10;2015-02-11 09:54:51;6.26;3.14;3.45;303.73;246.02;270.62
4.2676546;47.1613064;796032.8733944;6674218.3973349;3.64;6.85;134.01;2015-02-11 09:54:52;5.94;3.31;3.64;121.83;98.68;108.55
4.2676445;47.1613193;796032.0853191;6674219.8177403;4.05;5.36;91.34;2015-02-11 09:54:53;6.22;3.68;4.05;83.04;67.26;73.99
4.2676354;47.1613340;796031.3697843;6674221.4392721;5.14;10.17;417.42;2015-02-11 09:54:54;6.30;4.68;5.14;379.48;307.38;338.11
4.2676263;47.1613473;796030.6567463;6674222.9053183;4.19;9.52;298.44;2015-02-11 09:54:55;6.01;3.81;4.19;271.31;219.76;241.73
4.2676167;47.1613613;796029.9045856;6674224.4484994;2.80;10.69;251.01;2015-02-11 09:54:56;6.44;2.54;2.80;228.19;184.84;203.32
4.2676066;47.1613759;796029.1134805;6674226.0577092;6.56;11.31;658.51;2015-02-11 09:54:57;6.04;5.96;6.56;598.65;484.90;533.39
4.2675975;47.1613900;796028.3990171;6674227.6126047;5.27;8.97;332.59;2015-02-11 09:54:58;6.15;4.79;5.27;302.35;244.90;269.39
4.2675891;47.1614041;796027.7375789;6674229.1683515;3.98;11.70;428.26;2015-02-11 09:54:59;6.33;3.62;3.98;389.32;315.35;346.89
4.2675808;47.1614195;796027.0813980;6674230.8685995;8.14;10.59;717.35;2015-02-11 09:55:00;6.19;7.40;8.14;652.14;528.23;581.06
4.2675732;47.1614332;796026.4812733;6674232.3808950;3.58;7.36;152.32;2015-02-11 09:55:01;6.04;3.25;3.58;138.47;112.16;123.38
4.2675699;47.1614469;796026.2068724;6674233.8984197;4.14;8.01;208.62;2015-02-11 09:55:02;6.08;3.77;4.14;189.66;153.62;168.98
4.2675617;47.1614628;796025.5573759;6674235.6543201;4.05;10.85;374.62;2015-02-11 09:55:03;6.22;3.68;4.05;340.57;275.86;303.44
4.2675538;47.1614784;796024.9311396;6674237.3772671;7.19;11.27;717.21;2015-02-11 09:55:04;6.01;6.53;7.19;652.01;528.12;580.94
4.2675478;47.1614933;796024.4500758;6674239.0247819;4.88;10.78;445.21;2015-02-11 09:55:05;5.90;4.44;4.88;404.74;327.84;360.62
4.2675398;47.1615071;796023.8194745;6674240.5476973;4.77;6.74;170.02;2015-02-11 09:55:06;6.04;4.33;4.77;154.56;125.19;137.71
4.2675325;47.1615226;796023.2388671;6674242.2602680;6.37;10.01;501.44;2015-02-11 09:55:07;6.22;5.79;6.37;455.85;369.24;406.17
4.2675252;47.1615355;796022.6628957;6674243.6840797;3.87;13.87;585.06;2015-02-11 09:55:08;5.58;3.52;3.87;531.87;430.82;473.90
4.2675159;47.1615491;796021.9341775;6674245.1832023;6.06;9.94;470.61;2015-02-11 09:55:09;5.94;5.51;6.06;427.83;346.54;381.19
4.2675043;47.1615622;796021.0321273;6674246.6239974;3.96;8.62;230.88;2015-02-11 09:55:10;6.37;3.60;3.96;209.90;170.02;187.02
4.2674939;47.1615752;796020.2211552;6674248.0551459;3.23;10.74;292.47;2015-02-11 09:55:11;5.58;2.93;3.23;265.88;215.36;236.90
4.2674826;47.1615882;796019.3420090;6674249.4852000;5.65;10.73;511.10;2015-02-11 09:55:12;6.37;5.14;5.65;464.64;376.36;413.99
4.2674716;47.1616005;796018.4868360;6674250.8378763;4.91;10.07;391.73;2015-02-11 09:55:13;5.86;4.47;4.91;356.12;288.46;317.30
4.2674625;47.1616140;796017.7734478;6674252.3261364;4.82;12.25;568.42;2015-02-11 09:55:14;5.97;4.39;4.82;516.74;418.56;460.42
4.2674526;47.1616284;796016.9978559;6674253.9133789;2.93;7.17;118.31;2015-02-11 09:55:15;6.15;2.66;2.93;107.56;87.12;95.83
